"Name","Status","StartType","Time"
"AarSvc_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"AdobeARMservice","Running","Automatic","03-20-2024 06:39:16"
"AdobeUpdateService","Running","Automatic","03-20-2024 06:39:16"
"AJRouter","Stopped","Manual","03-20-2024 06:39:16"
"ALG","Stopped","Manual","03-20-2024 06:39:16"
"AppIDSvc","Stopped","Manual","03-20-2024 06:39:16"
"Appinfo","Running","Manual","03-20-2024 06:39:16"
"AppMgmt","Running","Manual","03-20-2024 06:39:16"
"AppReadiness","Stopped","Manual","03-20-2024 06:39:16"
"AppVClient","Stopped","Disabled","03-20-2024 06:39:16"
"AppXSvc","Stopped","Manual","03-20-2024 06:39:16"
"AssignedAccessManagerSvc","Stopped","Manual","03-20-2024 06:39:16"
"AudioEndpointBuilder","Running","Automatic","03-20-2024 06:39:16"
"Audiosrv","Running","Automatic","03-20-2024 06:39:16"
"autotimesvc","Stopped","Manual","03-20-2024 06:39:16"
"AxInstSV","Stopped","Manual","03-20-2024 06:39:16"
"battlenet_helpersvc","Stopped","Manual","03-20-2024 06:39:16"
"BcastDVRUserService_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"BDESVC","Stopped","Manual","03-20-2024 06:39:16"
"BFE","Running","Automatic","03-20-2024 06:39:16"
"BITS","Running","Automatic","03-20-2024 06:39:16"
"BluetoothUserService_acd5f","Running","Manual","03-20-2024 06:39:16"
"BrokerInfrastructure","Running","Automatic","03-20-2024 06:39:16"
"BTAGService","Running","Manual","03-20-2024 06:39:16"
"BthAvctpSvc","Running","Manual","03-20-2024 06:39:16"
"bthserv","Running","Manual","03-20-2024 06:39:16"
"CAMService","Running","Automatic","03-20-2024 06:39:16"
"camsvc","Running","Manual","03-20-2024 06:39:16"
"CaptureService_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"cbdhsvc_acd5f","Running","Automatic","03-20-2024 06:39:16"
"CDPSvc","Running","Automatic","03-20-2024 06:39:16"
"CDPUserSvc_acd5f","Running","Automatic","03-20-2024 06:39:16"
"CertPropSvc","Stopped","Manual","03-20-2024 06:39:16"
"ClickToRunSvc","Running","Automatic","03-20-2024 06:39:16"
"ClipSVC","Stopped","Manual","03-20-2024 06:39:16"
"CloudBackupRestoreSvc_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"cloudidsvc","Stopped","Manual","03-20-2024 06:39:16"
"COMSysApp","Stopped","Manual","03-20-2024 06:39:16"
"ConsentUxUserSvc_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"CoreMessagingRegistrar","Running","Automatic","03-20-2024 06:39:16"
"cplspcon","Running","Automatic","03-20-2024 06:39:16"
"CredentialEnrollmentManagerUserSvc_acd5f","Running","Manual","03-20-2024 06:39:16"
"CryptSvc","Running","Automatic","03-20-2024 06:39:16"
"CscService","Stopped","Manual","03-20-2024 06:39:16"
"DcomLaunch","Running","Automatic","03-20-2024 06:39:16"
"dcsvc","Stopped","Manual","03-20-2024 06:39:16"
"defragsvc","Stopped","Manual","03-20-2024 06:39:16"
"DeviceAssociationBrokerSvc_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"DeviceAssociationService","Running","Manual","03-20-2024 06:39:16"
"DeviceInstall","Stopped","Manual","03-20-2024 06:39:16"
"DevicePickerUserSvc_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"DevicesFlowUserSvc_acd5f","Running","Manual","03-20-2024 06:39:16"
"DevQueryBroker","Running","Manual","03-20-2024 06:39:16"
"Dhcp","Running","Automatic","03-20-2024 06:39:16"
"diagnosticshub.standardcollector.service","Stopped","Manual","03-20-2024 06:39:16"
"diagsvc","Stopped","Manual","03-20-2024 06:39:16"
"DiagTrack","Running","Automatic","03-20-2024 06:39:16"
"DialogBlockingService","Stopped","Disabled","03-20-2024 06:39:16"
"DispBrokerDesktopSvc","Running","Automatic","03-20-2024 06:39:16"
"DisplayEnhancementService","Running","Manual","03-20-2024 06:39:16"
"DmEnrollmentSvc","Stopped","Manual","03-20-2024 06:39:16"
"dmwappushservice","Stopped","Manual","03-20-2024 06:39:16"
"Dnscache","Running","Automatic","03-20-2024 06:39:16"
"DoSvc","Running","Automatic","03-20-2024 06:39:16"
"dot3svc","Stopped","Manual","03-20-2024 06:39:16"
"DPS","Running","Automatic","03-20-2024 06:39:16"
"DsmSvc","Stopped","Manual","03-20-2024 06:39:16"
"DsSvc","Running","Manual","03-20-2024 06:39:16"
"DusmSvc","Running","Automatic","03-20-2024 06:39:16"
"EapHost","Stopped","Manual","03-20-2024 06:39:16"
"EasyAntiCheat_EOS","Stopped","Manual","03-20-2024 06:39:16"
"edgeupdate","Stopped","Automatic","03-20-2024 06:39:16"
"edgeupdatem","Stopped","Manual","03-20-2024 06:39:16"
"EFS","Running","Manual","03-20-2024 06:39:16"
"embeddedmode","Stopped","Manual","03-20-2024 06:39:16"
"EntAppSvc","Stopped","Manual","03-20-2024 06:39:16"
"EventLog","Running","Automatic","03-20-2024 06:39:16"
"EventSystem","Running","Automatic","03-20-2024 06:39:16"
"Fax","Stopped","Manual","03-20-2024 06:39:16"
"fdPHost","Stopped","Manual","03-20-2024 06:39:16"
"FDResPub","Stopped","Manual","03-20-2024 06:39:16"
"fhsvc","Stopped","Manual","03-20-2024 06:39:16"
"FileSyncHelper","Stopped","Manual","03-20-2024 06:39:16"
"FontCache","Running","Automatic","03-20-2024 06:39:16"
"FrameServer","Stopped","Manual","03-20-2024 06:39:16"
"FrameServerMonitor","Stopped","Manual","03-20-2024 06:39:16"
"FvSvc","Stopped","Manual","03-20-2024 06:39:16"
"GameInputSvc","Stopped","Manual","03-20-2024 06:39:16"
"GoogleChromeElevationService","Stopped","Manual","03-20-2024 06:39:16"
"GoogleUpdaterInternalService124.0.6359.0","Stopped","Automatic","03-20-2024 06:39:16"
"GoogleUpdaterService124.0.6359.0","Stopped","Automatic","03-20-2024 06:39:16"
"gpsvc","Running","Automatic","03-20-2024 06:39:16"
"GraphicsPerfSvc","Stopped","Manual","03-20-2024 06:39:16"
"hidserv","Running","Manual","03-20-2024 06:39:16"
"HvHost","Running","Manual","03-20-2024 06:39:16"
"icssvc","Stopped","Manual","03-20-2024 06:39:16"
"igccservice","Running","Automatic","03-20-2024 06:39:16"
"IKEEXT","Running","Automatic","03-20-2024 06:39:16"
"InstallService","Running","Manual","03-20-2024 06:39:16"
"Intel(R) Platform License Manager Service","Stopped","Automatic","03-20-2024 06:39:16"
"InventorySvc","Running","Manual","03-20-2024 06:39:16"
"iphlpsvc","Running","Automatic","03-20-2024 06:39:16"
"IpxlatCfgSvc","Stopped","Manual","03-20-2024 06:39:16"
"jhi_service","Running","Automatic","03-20-2024 06:39:16"
"KeyIso","Running","Manual","03-20-2024 06:39:16"
"KtmRm","Stopped","Manual","03-20-2024 06:39:16"
"LanmanServer","Running","Automatic","03-20-2024 06:39:16"
"LanmanWorkstation","Running","Automatic","03-20-2024 06:39:16"
"lfsvc","Running","Manual","03-20-2024 06:39:16"
"LGHUBUpdaterService","Running","Automatic","03-20-2024 06:39:16"
"LicenseManager","Running","Manual","03-20-2024 06:39:16"
"LightKeeperService","Running","Automatic","03-20-2024 06:39:16"
"lltdsvc","Stopped","Manual","03-20-2024 06:39:16"
"lmhosts","Running","Manual","03-20-2024 06:39:16"
"logi_lamparray_service","Running","Automatic","03-20-2024 06:39:16"
"LSM","Running","Automatic","03-20-2024 06:39:16"
"LxpSvc","Stopped","Manual","03-20-2024 06:39:16"
"MapsBroker","Stopped","Automatic","03-20-2024 06:39:16"
"McpManagementService","Stopped","Manual","03-20-2024 06:39:16"
"MessagingService_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"MicrosoftEdgeElevationService","Stopped","Manual","03-20-2024 06:39:16"
"MixedRealityOpenXRSvc","Stopped","Manual","03-20-2024 06:39:16"
"mpssvc","Running","Automatic","03-20-2024 06:39:16"
"MSDTC","Stopped","Manual","03-20-2024 06:39:16"
"MSiSCSI","Stopped","Manual","03-20-2024 06:39:16"
"msiserver","Running","Manual","03-20-2024 06:39:16"
"MSI_Case_Service","Running","Automatic","03-20-2024 06:39:16"
"MSI_Center_Service","Running","Automatic","03-20-2024 06:39:16"
"MSI_VoiceControl_Service","Running","Automatic","03-20-2024 06:39:16"
"MsKeyboardFilter","Stopped","Disabled","03-20-2024 06:39:16"
"Mystic_Light_Service","Running","Automatic","03-20-2024 06:39:16"
"NaturalAuthentication","Stopped","Manual","03-20-2024 06:39:16"
"NcaSvc","Stopped","Manual","03-20-2024 06:39:16"
"NcbService","Running","Manual","03-20-2024 06:39:16"
"NcdAutoSetup","Stopped","Manual","03-20-2024 06:39:16"
"Net Driver HPZ12","Stopped","Automatic","03-20-2024 06:39:16"
"Netlogon","Stopped","Manual","03-20-2024 06:39:16"
"Netman","Stopped","Manual","03-20-2024 06:39:16"
"netprofm","Running","Manual","03-20-2024 06:39:16"
"NetSetupSvc","Stopped","Manual","03-20-2024 06:39:16"
"NetTcpPortSharing","Stopped","Disabled","03-20-2024 06:39:16"
"NgcCtnrSvc","Running","Manual","03-20-2024 06:39:16"
"NgcSvc","Running","Manual","03-20-2024 06:39:16"
"NlaSvc","Stopped","Manual","03-20-2024 06:39:16"
"NortonSecurity","Running","Automatic","03-20-2024 06:39:16"
"NPSMSvc_acd5f","Running","Manual","03-20-2024 06:39:16"
"nsi","Running","Automatic","03-20-2024 06:39:16"
"nsWscSvc","Running","Automatic","03-20-2024 06:39:16"
"NvContainerLocalSystem","Running","Automatic","03-20-2024 06:39:16"
"NVDisplay.ContainerLocalSystem","Running","Automatic","03-20-2024 06:39:16"
"OneDrive Updater Service","Stopped","Manual","03-20-2024 06:39:16"
"OneSyncSvc_acd5f","Running","Automatic","03-20-2024 06:39:16"
"p2pimsvc","Stopped","Manual","03-20-2024 06:39:16"
"p2psvc","Stopped","Manual","03-20-2024 06:39:16"
"P9RdrService_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"PcaSvc","Running","Automatic","03-20-2024 06:39:16"
"PeerDistSvc","Stopped","Manual","03-20-2024 06:39:16"
"PenService_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"perceptionsimulation","Stopped","Manual","03-20-2024 06:39:16"
"PerfHost","Stopped","Manual","03-20-2024 06:39:16"
"PhoneSvc","Stopped","Manual","03-20-2024 06:39:16"
"PimIndexMaintenanceSvc_acd5f","Running","Manual","03-20-2024 06:39:16"
"pla","Running","Manual","03-20-2024 06:39:16"
"PlugPlay","Running","Manual","03-20-2024 06:39:16"
"Pml Driver HPZ12","Stopped","Automatic","03-20-2024 06:39:16"
"PNRPAutoReg","Stopped","Manual","03-20-2024 06:39:16"
"PNRPsvc","Stopped","Manual","03-20-2024 06:39:16"
"PolicyAgent","Running","Manual","03-20-2024 06:39:16"
"Power","Running","Automatic","03-20-2024 06:39:16"
"PrintNotify","Stopped","Manual","03-20-2024 06:39:16"
"PrintWorkflowUserSvc_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"ProfSvc","Running","Automatic","03-20-2024 06:39:16"
"PushToInstall","Stopped","Manual","03-20-2024 06:39:16"
"QWAVE","Running","Manual","03-20-2024 06:39:16"
"RasAuto","Stopped","Manual","03-20-2024 06:39:16"
"RasMan","Running","Manual","03-20-2024 06:39:16"
"RemoteAccess","Stopped","Disabled","03-20-2024 06:39:16"
"RemoteRegistry","Stopped","Disabled","03-20-2024 06:39:16"
"RetailDemo","Stopped","Manual","03-20-2024 06:39:16"
"RmSvc","Running","Manual","03-20-2024 06:39:16"
"RpcEptMapper","Running","Automatic","03-20-2024 06:39:16"
"RpcLocator","Stopped","Manual","03-20-2024 06:39:16"
"RpcSs","Running","Automatic","03-20-2024 06:39:16"
"RtkAudioUniversalService","Running","Automatic","03-20-2024 06:39:16"
"SamSs","Running","Automatic","03-20-2024 06:39:16"
"SCardSvr","Stopped","Manual","03-20-2024 06:39:16"
"ScDeviceEnum","Stopped","Manual","03-20-2024 06:39:16"
"Schedule","Running","Automatic","03-20-2024 06:39:16"
"SCPolicySvc","Stopped","Manual","03-20-2024 06:39:16"
"SDRSVC","Stopped","Manual","03-20-2024 06:39:16"
"seclogon","Running","Manual","03-20-2024 06:39:16"
"SecurityHealthService","Running","Manual","03-20-2024 06:39:16"
"SEMgrSvc","Stopped","Manual","03-20-2024 06:39:16"
"SENS","Running","Automatic","03-20-2024 06:39:16"
"Sense","Stopped","Manual","03-20-2024 06:39:16"
"SensorDataService","Stopped","Manual","03-20-2024 06:39:16"
"SensorService","Stopped","Manual","03-20-2024 06:39:16"
"SensrSvc","Stopped","Manual","03-20-2024 06:39:16"
"SessionEnv","Stopped","Manual","03-20-2024 06:39:16"
"SgrmBroker","Stopped","Disabled","03-20-2024 06:39:16"
"SharedAccess","Stopped","Manual","03-20-2024 06:39:16"
"SharedRealitySvc","Stopped","Manual","03-20-2024 06:39:16"
"ShellHWDetection","Running","Automatic","03-20-2024 06:39:16"
"shpamsvc","Stopped","Disabled","03-20-2024 06:39:16"
"smphost","Stopped","Manual","03-20-2024 06:39:16"
"SmsRouter","Stopped","Manual","03-20-2024 06:39:16"
"SNMPTrap","Stopped","Manual","03-20-2024 06:39:16"
"spectrum","Stopped","Manual","03-20-2024 06:39:16"
"Spooler","Running","Automatic","03-20-2024 06:39:16"
"sppsvc","Stopped","Automatic","03-20-2024 06:39:16"
"SSDPSRV","Running","Manual","03-20-2024 06:39:16"
"ssh-agent","Stopped","Disabled","03-20-2024 06:39:16"
"SstpSvc","Running","Manual","03-20-2024 06:39:16"
"StateRepository","Running","Automatic","03-20-2024 06:39:16"
"StiSvc","Stopped","Manual","03-20-2024 06:39:16"
"StorSvc","Running","Automatic","03-20-2024 06:39:16"
"svsvc","Stopped","Manual","03-20-2024 06:39:16"
"swprv","Stopped","Manual","03-20-2024 06:39:16"
"SysMain","Running","Automatic","03-20-2024 06:39:16"
"SystemEventsBroker","Running","Automatic","03-20-2024 06:39:16"
"TapiSrv","Stopped","Manual","03-20-2024 06:39:16"
"TermService","Stopped","Manual","03-20-2024 06:39:16"
"TextInputManagementService","Running","Automatic","03-20-2024 06:39:16"
"Themes","Running","Automatic","03-20-2024 06:39:16"
"TieringEngineService","Stopped","Manual","03-20-2024 06:39:16"
"TimeBrokerSvc","Running","Manual","03-20-2024 06:39:16"
"TobiiGeneric","Running","Automatic","03-20-2024 06:39:16"
"TobiiIS5LEYETRACKER5","Running","Automatic","03-20-2024 06:39:16"
"TokenBroker","Running","Manual","03-20-2024 06:39:16"
"TrkWks","Running","Automatic","03-20-2024 06:39:16"
"TroubleshootingSvc","Stopped","Manual","03-20-2024 06:39:16"
"TrustedInstaller","Stopped","Manual","03-20-2024 06:39:16"
"tzautoupdate","Stopped","Disabled","03-20-2024 06:39:16"
"UdkUserSvc_acd5f","Running","Manual","03-20-2024 06:39:16"
"UevAgentService","Stopped","Disabled","03-20-2024 06:39:16"
"uhssvc","Stopped","Disabled","03-20-2024 06:39:16"
"UmRdpService","Stopped","Manual","03-20-2024 06:39:16"
"UnistoreSvc_acd5f","Running","Manual","03-20-2024 06:39:16"
"upnphost","Stopped","Manual","03-20-2024 06:39:16"
"UserDataSvc_acd5f","Running","Manual","03-20-2024 06:39:16"
"UserManager","Running","Automatic","03-20-2024 06:39:16"
"UsoSvc","Running","Automatic","03-20-2024 06:39:16"
"VacSvc","Stopped","Manual","03-20-2024 06:39:16"
"VaultSvc","Running","Manual","03-20-2024 06:39:16"
"vds","Stopped","Manual","03-20-2024 06:39:16"
"vmicguestinterface","Stopped","Manual","03-20-2024 06:39:16"
"vmicheartbeat","Stopped","Manual","03-20-2024 06:39:16"
"vmickvpexchange","Stopped","Manual","03-20-2024 06:39:16"
"vmicrdv","Stopped","Manual","03-20-2024 06:39:16"
"vmicshutdown","Stopped","Manual","03-20-2024 06:39:16"
"vmictimesync","Stopped","Manual","03-20-2024 06:39:16"
"vmicvmsession","Stopped","Manual","03-20-2024 06:39:16"
"vmicvss","Stopped","Manual","03-20-2024 06:39:16"
"VSS","Stopped","Manual","03-20-2024 06:39:16"
"W32Time","Running","Manual","03-20-2024 06:39:16"
"WaaSMedicSvc","Stopped","Manual","03-20-2024 06:39:16"
"WalletService","Stopped","Manual","03-20-2024 06:39:16"
"WarpJITSvc","Stopped","Manual","03-20-2024 06:39:16"
"wbengine","Stopped","Manual","03-20-2024 06:39:16"
"WbioSrvc","Stopped","Automatic","03-20-2024 06:39:16"
"Wcmsvc","Running","Automatic","03-20-2024 06:39:16"
"wcncsvc","Stopped","Manual","03-20-2024 06:39:16"
"WdiServiceHost","Running","Manual","03-20-2024 06:39:16"
"WdiSystemHost","Stopped","Manual","03-20-2024 06:39:16"
"WdNisSvc","Stopped","Manual","03-20-2024 06:39:16"
"WebClient","Running","Manual","03-20-2024 06:39:16"
"webthreatdefsvc","Running","Manual","03-20-2024 06:39:16"
"webthreatdefusersvc_acd5f","Running","Automatic","03-20-2024 06:39:16"
"Wecsvc","Stopped","Manual","03-20-2024 06:39:16"
"WEPHOSTSVC","Stopped","Manual","03-20-2024 06:39:16"
"wercplsupport","Stopped","Manual","03-20-2024 06:39:16"
"WerSvc","Stopped","Manual","03-20-2024 06:39:16"
"WFDSConMgrSvc","Stopped","Manual","03-20-2024 06:39:16"
"WiaRpc","Stopped","Manual","03-20-2024 06:39:16"
"WinDefend","Stopped","Manual","03-20-2024 06:39:16"
"WinHttpAutoProxySvc","Running","Manual","03-20-2024 06:39:16"
"Winmgmt","Running","Automatic","03-20-2024 06:39:16"
"WinRM","Running","Automatic","03-20-2024 06:39:16"
"wisvc","Stopped","Manual","03-20-2024 06:39:16"
"WlanSvc","Running","Automatic","03-20-2024 06:39:16"
"wlidsvc","Stopped","Manual","03-20-2024 06:39:16"
"wlpasvc","Stopped","Manual","03-20-2024 06:39:16"
"WManSvc","Stopped","Manual","03-20-2024 06:39:16"
"wmiApSrv","Stopped","Manual","03-20-2024 06:39:16"
"WMIRegistrationService","Running","Automatic","03-20-2024 06:39:16"
"WMPNetworkSvc","Stopped","Manual","03-20-2024 06:39:16"
"workfolderssvc","Stopped","Manual","03-20-2024 06:39:16"
"WpcMonSvc","Stopped","Manual","03-20-2024 06:39:16"
"WPDBusEnum","Stopped","Manual","03-20-2024 06:39:16"
"WpnService","Running","Automatic","03-20-2024 06:39:16"
"WpnUserService_acd5f","Running","Automatic","03-20-2024 06:39:16"
"wscsvc","Running","Automatic","03-20-2024 06:39:16"
"WSearch","Running","Automatic","03-20-2024 06:39:16"
"wuauserv","Stopped","Manual","03-20-2024 06:39:16"
"WwanSvc","Stopped","Manual","03-20-2024 06:39:16"
"XblAuthManager","Running","Manual","03-20-2024 06:39:16"
"XblGameSave","Stopped","Manual","03-20-2024 06:39:16"
"XboxGipSvc","Stopped","Manual","03-20-2024 06:39:16"
"XboxNetApiSvc","Stopped","Manual","03-20-2024 06:39:16"
